,year,start_date,end_date
0,2005,2005-08-08,2005-08-19
1,2006,2006-06-24,2006-06-28
2,2007,2007-06-18,2007-06-22
3,2009,2009-06-29,2009-07-03
4,2010,2010-06-28,2010-07-02
5,2011,2011-08-15,2011-08-19
6,2012,2012-08-20,2012-08-24
7,2013,2013-08-19,2013-08-23
8,2014,2014-07-14,2014-07-18
9,2015,2015-07-13,2015-07-17
10,2016,2016-08-22,2016-08-26
11,2017,2017-07-17,2017-07-21
12,2018,2018-08-20,2018-08-24
13,2019,2019-07-15,2019-07-19
14,2020,2020-08-24,2020-08-28
15,2021,2021-07-19,2021-07-23
16,2022,2022-07-25,2022-07-29
17,2023,2023-06-19,2023-06-23
18,2024,2024-06-17,2024-06-21
19,2025,2025-07-21,2025-07-25
20,2026,2026-07-06,2026-07-11
21,2025,2025-01-06,2025-01-10
22,2024,2024-06-03,2024-06-07
23,2023,2023-07-24,2023-07-29
24,2022,2022-07-18,2022-07-22
25,2021,2021-06-21,2021-07-02
26,2020,2020-06-29,2020-07-03
27,2019,2019-07-09,2019-07-13
28,2018,2018-06-25,2018-06-29
29,2017,2017-06-26,2017-06-30
30,2016,2016-08-01,2016-08-05
31,2015,2015-06-22,2015-06-26
32,2014,2014-06-23,2014-06-27
33,2013,2013-06-24,2013-06-29
34,2012,2012-07-23,2012-07-28
35,2011,2011-06-27,2011-07-02
36,2010,2010-03-15,2010-03-19
37,2009,2009-06-22,2009-06-26
38,2008,2008-08-18,2008-08-23
39,2007,2007-06-25,2007-06-29
40,2006,2006-06-19,2006-06-24
41,2005,2005-07-11,2005-07-16
42,2025,2025-06-16,2025-06-20
43,2024,2024-06-10,2024-06-14
44,2023,2023-08-07,2023-08-13
45,2022,2022-08-08,2022-08-12
46,2021,2021-08-16,2021-08-20
47,2020,2020-05-11,2020-05-15
48,2019,2019-07-01,2019-07-05
49,2018,2018-06-18,2018-06-22
50,2017,2017-07-10,2017-07-14
51,2016,2016-07-04,2016-07-08
52,2015,2015-07-06,2015-07-10
53,2014,2014-06-10,2014-06-13
54,2013,2013-04-28,2013-05-03
55,2012,2012-03-05,2012-03-09
56,2011,2011-11-10,2011-11-13
57,2010,2010-05-04,2010-05-07
58,2009,2009-03-30,2009-04-03
